matchNumber,matchLevel,blue_totalPoints,blue_foulPoints,blue_adjustPoints,blue_totalAutoPoints,blue_totalTeleopPoints,blue_endGameTowerPoints,blue_totalTowerPoints,blue_autoTowerPoints,blue_autoTowerRobot1,blue_autoTowerRobot2,blue_autoTowerRobot3,blue_endGameTowerRobot1,blue_endGameTowerRobot2,blue_endGameTowerRobot3,blue_energizedAchieved,blue_superchargedAchieved,blue_traversalAchieved,blue_minorFoulCount,blue_majorFoulCount,blue_g206Penalty,blue_rp,blue_penalties,blue_hub_autoCount,blue_hub_transitionCount,blue_hub_shift1Count,blue_hub_shift2Count,blue_hub_shift3Count,blue_hub_shift4Count,blue_hub_endgameCount,blue_hub_teleopCount,blue_hub_totalCount,blue_hub_uncounted,blue_hub_autoPoints,blue_hub_transitionPoints,blue_hub_shift1Points,blue_hub_shift2Points,blue_hub_shift3Points,blue_hub_shift4Points,blue_hub_endgamePoints,blue_hub_teleopPoints,blue_hub_totalPoints,red_totalPoints,red_foulPoints,red_adjustPoints,red_totalAutoPoints,red_totalTeleopPoints,red_endGameTowerPoints,red_totalTowerPoints,red_autoTowerPoints,red_autoTowerRobot1,red_autoTowerRobot2,red_autoTowerRobot3,red_endGameTowerRobot1,red_endGameTowerRobot2,red_endGameTowerRobot3,red_energizedAchieved,red_superchargedAchieved,red_traversalAchieved,red_minorFoulCount,red_majorFoulCount,red_g206Penalty,red_rp,red_penalties,red_hub_autoCount,red_hub_transitionCount,red_hub_shift1Count,red_hub_shift2Count,red_hub_shift3Count,red_hub_shift4Count,red_hub_endgameCount,red_hub_teleopCount,red_hub_totalCount,red_hub_uncounted,red_hub_autoPoints,red_hub_transitionPoints,red_hub_shift1Points,red_hub_shift2Points,red_hub_shift3Points,red_hub_shift4Points,red_hub_endgamePoints,red_hub_teleopPoints,red_hub_totalPoints
44,Qualification,567,15,0,104,448,0,15,15,None,None,Level1,None,None,None,True,True,False,0,1,False,5,None,89,0,144,0,123,0,181,448,537,5,89,0,144,0,123,0,181,448,537,380,15,0,110,255,0,0,0,None,None,None,None,None,None,True,False,False,3,0,False,1,None,110,38,0,70,0,75,72,255,365,0,110,38,0,70,0,75,72,255,365
45,Qualification,385,0,0,75,310,10,10,0,None,None,None,None,Level1,None,True,False,False,1,0,False,1,None,75,7,54,0,61,0,178,300,375,4,75,7,54,0,61,0,178,300,375,387,5,0,95,287,0,0,0,None,None,None,None,None,None,True,False,False,0,0,False,4,None,95,45,0,97,0,67,78,287,382,10,95,45,0,97,0,67,78,287,382
46,Qualification,646,50,0,114,482,0,0,0,None,None,None,None,None,None,True,True,False,0,0,False,5,None,114,74,0,173,0,150,85,482,596,16,114,74,0,173,0,150,85,482,596,573,0,0,89,484,0,0,0,None,None,None,None,None,None,True,True,False,1,3,False,2,None,89,25,151,0,168,0,140,484,573,3,89,25,151,0,168,0,140,484,573
47,Qualification,524,0,0,94,430,0,0,0,None,None,None,None,None,None,True,True,False,0,0,False,5,None,94,16,0,166,0,103,145,430,524,10,94,16,0,166,0,103,145,430,524,364,0,0,85,279,0,0,0,None,None,None,None,None,None,True,False,False,0,0,False,1,None,85,10,96,0,104,0,69,279,364,3,85,10,96,0,104,0,69,279,364
48,Qualification,529,15,0,101,413,0,0,0,None,None,None,None,None,None,True,True,False,0,0,False,5,None,101,7,130,0,153,0,123,413,514,1,101,7,130,0,153,0,123,413,514,426,0,0,102,324,0,0,0,None,None,None,None,None,None,True,False,False,0,1,False,1,None,102,6,0,122,0,76,120,324,426,16,102,6,0,122,0,76,120,324,426
49,Qualification,449,0,0,82,367,0,0,0,None,None,None,None,None,None,True,False,False,0,1,False,1,None,82,63,0,112,0,87,105,367,449,11,82,63,0,112,0,87,105,367,449,511,15,0,65,431,0,0,0,None,None,None,None,None,None,True,False,False,0,0,False,4,None,65,0,140,0,159,0,132,431,496,0,65,0,140,0,159,0,132,431,496
50,Qualification,456,0,0,100,356,0,0,0,None,None,None,None,None,None,True,False,False,0,0,False,4,None,100,2,0,156,0,96,102,356,456,2,100,2,0,156,0,96,102,356,456,439,0,0,69,370,0,0,0,None,None,None,None,None,None,True,False,False,0,0,False,1,None,69,0,94,0,121,0,155,370,439,0,69,0,94,0,121,0,155,370,439
51,Qualification,393,0,0,43,350,0,0,0,None,None,None,None,None,None,True,False,False,0,0,False,4,None,43,44,95,0,86,0,125,350,393,1,43,44,95,0,86,0,125,350,393,367,0,0,85,282,10,10,0,None,None,None,None,Level1,None,False,False,False,0,0,False,0,None,85,31,0,125,0,80,36,272,357,0,85,31,0,125,0,80,36,272,357
52,Qualification,378,0,0,89,289,0,0,0,None,None,None,None,None,None,True,False,False,0,2,False,1,None,89,2,187,0,92,0,8,289,378,1,89,2,187,0,92,0,8,289,378,568,30,0,120,418,0,0,0,None,None,None,None,None,None,True,True,False,0,0,False,5,None,120,0,0,179,0,152,87,418,538,0,120,0,0,179,0,152,87,418,538
53,Qualification,375,20,0,46,309,0,0,0,None,None,None,None,None,None,False,False,False,0,0,False,0,None,46,0,28,0,98,0,183,309,355,1,46,0,28,0,98,0,183,309,355,516,0,0,99,417,10,10,0,None,None,None,Level1,None,None,True,True,False,1,1,False,5,None,99,41,0,154,0,112,100,407,506,7,99,41,0,154,0,112,100,407,506
54,Qualification,371,0,0,75,296,0,0,0,None,None,None,None,None,None,True,False,False,0,0,False,1,None,75,5,124,0,58,0,109,296,371,4,75,5,124,0,58,0,109,296,371,492,0,0,110,382,0,0,0,None,None,None,None,None,None,True,False,False,0,0,False,4,None,110,24,0,145,0,104,109,382,492,5,110,24,0,145,0,104,109,382,492
